#Country,Population,Area (sq. mi.),Pop. Density (per sq. mi.),Net migration,GDP ($ per capita),Literacy (%),Birthrate
Afghanistan ,31056997,647500,48,23.06,700,36,46.6
Albania ,3581655,28748,124.6,-4.93,4500,86.5,15.11
Algeria ,32930091,2381740,13.8,-0.39,6000,70,17.14
American Samoa ,57794,199,290.4,-20.71,8000,97,22.46
Andorra ,71201,468,152.1,6.6,19000,100,8.71
Angola ,12127071,1246700,9.7,0,1900,42,45.11
Anguilla ,13477,102,132.1,10.76,8600,95,14.17
Antigua & Barbuda ,69108,443,156,-6.15,11000,89,16.93
Argentina ,39921833,2766890,14.4,0.61,11200,97.1,16.73
Armenia ,2976372,29800,99.9,-6.47,3500,98.6,12.07
Aruba ,71891,193,372.5,0,28000,97,11.03
Australia ,20264082,7686850,2.6,3.98,29000,100,12.14
Austria ,8192880,83870,97.7,2,30000,98,8.74
Azerbaijan ,7961619,86600,91.9,-4.9,3400,97,20.74
Bahamas. The ,303770,13940,21.8,-2.2,16700,95.6,17.57
Bahrain ,698585,665,1050.5,1.05,16900,89.1,17.8
Bangladesh ,147365352,144000,1023.4,-0.71,1900,43.1,29.8
Barbados ,279912,431,649.5,-0.31,15700,97.4,12.71
Belarus ,10293011,207600,49.6,2.54,6100,99.6,11.16
Belgium ,10379067,30528,340,1.23,29100,98,10.38
Belize ,287730,22966,12.5,0,4900,94.1,28.84
Benin ,7862944,112620,69.8,0,1100,40.9,38.85
Bermuda ,65773,53,1241,2.49,36000,98,11.4
Bhutan ,2279723,47000,48.5,0,1300,42.2,33.65
Bolivia ,8989046,1098580,8.2,-1.32,2400,87.2,23.3
Bosnia & Herzegovina ,4498976,51129,88,0.31,6100,,8.77
Botswana ,1639833,600370,2.7,0,9000,79.8,23.08
Brazil ,188078227,8511965,22.1,-0.03,7600,86.4,16.56
British Virgin Is. ,23098,153,151,10.01,16000,97.8,14.89
Brunei ,379444,5770,65.8,3.59,18600,93.9,18.79
Bulgaria ,7385367,110910,66.6,-4.58,7600,98.6,9.65
Burkina Faso ,13902972,274200,50.7,0,1100,26.6,45.62
Burma ,47382633,678500,69.8,-1.8,1800,85.3,17.91
Burundi ,8090068,27830,290.7,-0.06,600,51.6,42.22
Cambodia ,13881427,181040,76.7,0,1900,69.4,26.9
Cameroon ,17340702,475440,36.5,0,1800,79,33.89
Canada ,33098932,9984670,3.3,5.96,29800,97,10.78
Cape Verde ,420979,4033,104.4,-12.07,1400,76.6,24.87
Cayman Islands ,45436,262,173.4,18.75,35000,98,12.74
Central African Rep. ,4303356,622984,6.9,0,1100,51,33.91
Chad ,9944201,1284000,7.7,-0.11,1200,47.5,45.73
Chile ,16134219,756950,21.3,0,9900,96.2,15.23
China ,1313973713,9596960,136.9,-0.4,5000,90.9,13.25
Colombia ,43593035,1138910,38.3,-0.31,6300,92.5,20.48
Comoros ,690948,2170,318.4,0,700,56.5,36.93
Congo. Dem. Rep. ,62660551,2345410,26.7,0,700,65.5,43.69
Congo. Repub. of the ,3702314,342000,10.8,-0.17,700,83.8,42.57
Cook Islands ,21388,240,89.1,,5000,95,21
Costa Rica ,4075261,51100,79.8,0.51,9100,96,18.32
Cote d'Ivoire ,17654843,322460,54.8,-0.07,1400,50.9,35.11
Croatia ,4494749,56542,79.5,1.58,10600,98.5,9.61
Cuba ,11382820,110860,102.7,-1.58,2900,97,11.89
Cyprus ,784301,9250,84.8,0.43,19200,97.6,12.56
Czech Republic ,10235455,78866,129.8,0.97,15700,99.9,9.02
Denmark ,5450661,43094,126.5,2.48,31100,100,11.13
Djibouti ,486530,23000,21.2,0,1300,67.9,39.53
Dominica ,68910,754,91.4,-13.87,5400,94,15.27
Dominican Republic ,9183984,48730,188.5,-3.22,6000,84.7,23.22
East Timor ,1062777,15007,70.8,0,500,58.6,26.99
Ecuador ,13547510,283560,47.8,-8.58,3300,92.5,22.29
Egypt ,78887007,1001450,78.8,-0.22,4000,57.7,22.94
El Salvador ,6822378,21040,324.3,-3.74,4800,80.2,26.61
Equatorial Guinea ,540109,28051,19.3,0,2700,85.7,35.59
Eritrea ,4786994,121320,39.5,0,700,58.6,34.33
Estonia ,1324333,45226,29.3,-3.16,12300,99.8,10.04
Ethiopia ,74777981,1127127,66.3,0,700,42.7,37.98
Faroe Islands ,47246,1399,33.8,1.41,22000,,14.05
Fiji ,905949,18270,49.6,-3.14,5800,93.7,22.55
Finland ,5231372,338145,15.5,0.95,27400,100,10.45
France ,60876136,547030,111.3,0.66,27600,99,11.99
French Guiana ,199509,91000,2.2,6.27,8300,83,20.46
French Polynesia ,274578,4167,65.9,2.94,17500,98,16.68
Gabon ,1424906,267667,5.3,0,5500,63.2,36.16
Gambia. The ,1641564,11300,145.3,1.57,1700,40.1,39.37
Gaza Strip ,1428757,360,3968.8,1.6,600,,39.45
Georgia ,4661473,69700,66.9,-4.7,2500,99,10.41
Germany ,82422299,357021,230.9,2.18,27600,99,8.25
Ghana ,22409572,239460,93.6,-0.64,2200,74.8,30.52
Gibraltar ,27928,7,3989.7,0,17500,,10.74
Greece ,10688058,131940,81,2.35,20000,97.5,9.68
Greenland ,56361,2166086,0,-8.37,20000,,15.93
Grenada ,89703,344,260.8,-13.92,5000,98,22.08
Guadeloupe ,452776,1780,254.4,-0.15,8000,90,15.05
Guam ,171019,541,316.1,0,21000,99,18.79
Guatemala ,12293545,108890,112.9,-1.67,4100,70.6,29.88
Guernsey ,65409,78,838.6,3.84,20000,,8.81
Guinea ,9690222,245857,39.4,-3.06,2100,35.9,41.76
Guinea-Bissau ,1442029,36120,39.9,-1.57,800,42.4,37.22
Guyana ,767245,214970,3.6,-2.07,4000,98.8,18.28
Haiti ,8308504,27750,299.4,-3.4,1600,52.9,36.44
Honduras ,7326496,112090,65.4,-1.99,2600,76.2,28.24
Hong Kong ,6940432,1092,6355.7,5.24,28800,93.5,7.29
Hungary ,9981334,93030,107.3,0.86,13900,99.4,9.72
Iceland ,299388,103000,2.9,2.38,30900,99.9,13.64
India ,1095351995,3287590,333.2,-0.07,2900,59.5,22.01
